Vehicle Type,Avg VTAT,Avg CTAT,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
Go Sedan,6.0,26.7,151.0,11.9,4.9,4.5,3
Premier Sedan,5.0,34.7,512.0,35.66,3.7,4.9,3
Premier Sedan,9.6,39.1,1390.0,21.79,5.0,4.9,3
Bike,3.9,23.0,224.0,7.86,4.1,4.2,0
Auto,8.4,31.3,708.0,18.04,4.6,4.8,3
Auto,7.7,43.7,153.0,15.18,4.2,3.6,4
Bike,5.0,35.0,72.0,13.38,4.7,4.2,0
Premier Sedan,10.9,43.6,696.0,30.9,4.7,3.7,3
Auto,8.6,32.7,2169.0,44.25,4.4,4.3,4
eBike,9.5,24.6,136.0,45.46,3.2,3.8,4
Go Mini,4.6,38.9,214.0,2.91,4.1,4.7,3
Go Mini,10.3,16.4,835.0,37.57,4.2,4.8,3
Go Sedan,2.6,36.2,705.0,40.18,3.9,4.8,3
Go Sedan,2.1,35.5,480.0,20.22,4.3,4.8,2
Go Mini,7.5,41.7,707.0,44.76,4.8,4.4,3
eBike,10.0,38.0,865.0,43.34,3.2,3.8,0
Bike,10.8,40.0,768.0,5.97,4.3,4.8,0
Bike,7.0,37.0,626.0,27.96,3.9,4.3,4
Go Mini,9.2,40.4,443.0,21.19,4.2,5.0,3
Go Sedan,9.9,28.7,226.0,47.63,3.6,4.1,3
Auto,12.8,30.6,449.0,24.4,3.3,4.1,3
Go Mini,5.9,21.1,778.0,7.49,4.3,4.9,3
Bike,14.7,18.8,361.0,24.44,4.3,4.8,3
Auto,3.5,30.4,235.0,9.2,4.3,3.9,3
Go Sedan,8.6,15.9,186.0,28.09,4.2,4.4,0
Bike,7.7,25.0,86.0,40.1,3.6,4.4,0
Premier Sedan,8.3,43.7,234.0,42.5,3.7,4.9,0
Go Sedan,6.0,44.4,758.0,41.42,4.9,3.6,0
Auto,12.5,26.3,273.0,31.69,4.4,4.8,3
Auto,11.1,19.6,117.0,33.74,4.5,3.7,2
Go Sedan,13.3,15.8,955.0,36.82,3.7,3.7,3
Go Sedan,9.7,31.5,139.0,38.75,4.4,4.3,3
Go Mini,13.3,30.7,255.0,17.07,4.3,4.4,0
Auto,9.5,18.0,1212.0,19.18,4.3,4.3,3
Go Sedan,10.0,23.6,81.0,23.93,4.7,3.9,2
Auto,3.6,24.2,940.0,29.09,4.2,4.6,3
eBike,10.0,17.9,98.0,27.55,4.2,4.1,0
Premier Sedan,5.9,15.5,724.0,14.0,4.1,4.2,0
eBike,8.0,25.3,749.0,47.3,4.4,4.3,3
Auto,11.5,37.4,244.0,14.59,4.1,4.8,3
Auto,5.4,28.9,585.0,34.14,4.6,4.1,2
Auto,6.4,44.7,554.0,31.79,4.3,4.6,0
Bike,10.8,28.5,803.0,25.01,4.1,4.5,1
Go Mini,9.4,24.8,388.0,17.56,4.2,4.7,3
Go Mini,11.2,38.5,192.0,48.96,3.1,4.6,3
Go Mini,9.0,39.1,79.0,32.91,4.4,3.8,4
Bike,2.4,26.6,242.0,45.7,4.0,4.9,3
Go Mini,5.4,32.6,323.0,38.32,4.4,3.7,4
Auto,5.4,24.4,799.0,9.1,4.2,4.6,3
Premier Sedan,2.9,39.3,134.0,49.26,4.1,4.9,3
Go Sedan,13.7,40.7,113.0,8.21,4.3,5.0,3
Auto,12.1,32.5,81.0,11.94,4.0,4.5,3
Go Sedan,4.5,43.1,992.0,8.23,5.0,4.6,3
Premier Sedan,3.6,26.5,513.0,49.5,4.3,4.9,3
Premier Sedan,5.8,38.9,635.0,37.37,4.3,4.6,3
Uber XL,6.9,17.0,242.0,35.38,4.4,4.9,3
Bike,12.5,20.6,1114.0,34.81,4.1,4.2,4
Bike,9.0,37.7,372.0,20.92,3.8,4.6,3
Go Mini,3.5,40.2,387.0,23.39,4.3,4.7,4
Go Sedan,7.1,31.6,767.0,30.82,4.6,4.9,3
Auto,7.1,24.4,447.0,21.31,4.5,4.1,3
Premier Sedan,6.7,33.5,500.0,20.41,4.3,4.7,1
Go Mini,3.7,38.9,446.0,25.94,4.9,4.3,2
eBike,2.6,32.9,125.0,39.16,4.1,4.9,3
Go Sedan,11.4,17.2,419.0,23.79,4.3,4.7,4
Go Sedan,4.7,17.7,477.0,41.93,4.6,4.9,0
Auto,11.3,33.0,352.0,6.71,4.2,4.7,3
Go Sedan,7.4,39.0,117.0,15.63,4.6,4.5,3
Go Sedan,9.3,28.5,51.0,29.8,4.6,3.9,3
Uber XL,6.0,26.6,81.0,5.59,4.9,4.2,0
Bike,13.5,41.8,51.0,4.44,4.4,4.7,4
Go Sedan,4.9,33.0,469.0,26.93,4.3,4.9,3
Bike,9.9,22.0,320.0,28.78,4.2,4.5,3
Go Mini,13.3,24.6,726.0,12.98,4.2,4.3,2
Go Sedan,8.8,16.8,455.0,43.06,3.8,4.3,3
Auto,2.6,22.2,995.0,38.96,4.7,4.9,2
Uber XL,2.7,25.8,1179.0,18.87,4.9,4.6,4
Bike,11.0,33.1,525.0,47.88,4.2,4.6,4
Go Sedan,5.1,27.9,300.0,5.7,4.2,4.6,3
Go Sedan,11.1,18.4,202.0,4.62,3.2,4.1,3
Premier Sedan,6.3,34.1,475.0,42.26,4.3,4.2,0
Go Sedan,6.1,17.0,833.0,19.49,4.0,3.4,2
Go Mini,7.3,33.1,158.0,40.36,3.7,4.9,3
Bike,10.0,36.9,155.0,42.59,4.7,3.2,0
Auto,10.5,33.9,107.0,21.68,4.3,4.9,3
Go Mini,6.8,22.4,151.0,29.9,4.6,4.6,3
Go Mini,10.7,30.4,187.0,42.27,4.3,4.8,0
Go Mini,12.3,34.6,1543.0,49.71,4.4,5.0,0
eBike,3.8,20.2,432.0,32.56,4.2,5.0,3
Go Mini,3.2,30.8,54.0,31.49,4.6,4.9,0
Auto,13.4,20.0,939.0,21.28,3.8,5.0,3
Auto,9.8,43.4,829.0,34.14,4.6,4.2,3
Auto,8.7,27.2,314.0,20.66,4.6,4.3,3
Go Sedan,11.7,30.5,1249.0,24.6,4.1,3.7,0
Auto,4.5,27.4,437.0,27.94,3.9,4.6,3
Go Mini,9.6,28.1,83.0,44.57,4.6,4.5,3
Auto,14.2,15.7,1444.0,15.43,4.2,3.1,0
Bike,5.8,31.4,1368.0,42.88,4.3,3.8,0
Auto,7.1,18.0,418.0,23.31,4.2,4.6,3
Premier Sedan,11.0,40.0,363.0,31.36,4.2,4.3,3
Go Mini,12.8,15.3,279.0,16.68,4.1,4.9,0
Go Mini,5.1,39.9,332.0,49.06,4.4,4.6,0
Auto,4.7,37.9,448.0,28.34,4.3,4.9,3
Go Sedan,12.9,29.7,64.0,38.65,3.5,5.0,3
Go Sedan,4.2,18.9,682.0,3.05,4.7,4.3,3
Go Mini,5.2,37.8,488.0,41.81,4.2,4.1,3
Go Sedan,3.9,40.6,953.0,31.28,4.9,4.7,0
Go Sedan,9.9,15.6,965.0,34.5,4.1,4.2,3
Go Sedan,10.0,40.6,405.0,13.1,3.6,4.6,1
Go Sedan,5.0,23.7,423.0,9.93,4.4,4.9,3
Auto,11.1,31.9,264.0,31.93,3.7,4.2,3
Go Mini,11.2,31.3,249.0,34.73,4.2,4.9,3
Auto,13.5,32.9,628.0,31.51,4.9,4.9,0
Bike,7.7,15.9,190.0,10.27,4.7,4.8,3
Premier Sedan,5.2,23.1,264.0,46.07,4.3,3.1,4
Bike,10.0,37.3,147.0,45.51,4.3,4.5,3
Auto,4.4,28.1,953.0,34.9,4.4,4.8,3
Go Mini,14.9,20.9,654.0,30.87,4.3,4.9,0
Go Sedan,8.4,19.7,427.0,37.07,4.1,4.9,0
Auto,5.8,25.5,610.0,35.38,4.4,4.3,4
Bike,7.1,42.5,648.0,19.61,4.2,5.0,3
Bike,8.8,40.4,792.0,23.82,3.2,4.3,0
Go Mini,13.6,29.8,676.0,39.98,3.6,4.7,3
Bike,5.1,22.4,389.0,27.16,3.6,3.9,4
Premier Sedan,11.4,42.6,74.0,48.45,4.1,3.9,4
Auto,9.4,41.6,465.0,25.05,4.4,4.9,1
Auto,5.3,43.6,932.0,40.21,4.1,4.1,3
Premier Sedan,10.8,33.7,191.0,44.48,3.8,4.9,0
Bike,5.2,34.9,770.0,6.82,4.3,4.8,3
Go Mini,14.3,23.4,514.0,16.21,4.3,3.8,3
Go Sedan,11.7,17.3,349.0,12.9,4.2,5.0,3
eBike,9.2,41.2,267.0,12.22,4.3,4.1,0
Go Mini,4.4,37.0,325.0,3.95,3.8,4.8,3
Go Sedan,4.3,15.6,156.0,42.87,3.9,4.2,0
Bike,5.2,27.3,689.0,39.84,4.3,4.9,3
Auto,13.6,40.4,491.0,4.19,3.8,3.9,1
Go Sedan,10.1,32.5,304.0,6.18,4.2,4.3,1
Auto,14.8,44.4,697.0,4.56,4.5,4.6,3
Auto,3.8,20.1,679.0,47.56,4.2,4.9,3
Go Mini,10.0,18.5,683.0,32.15,4.6,4.0,3
Go Sedan,7.8,36.4,91.0,23.5,4.0,4.3,3
Go Sedan,8.5,35.7,769.0,18.14,4.4,4.1,0
Bike,2.3,16.4,323.0,31.1,3.6,4.6,4
Auto,12.9,26.0,134.0,13.99,4.8,4.1,0
Go Mini,12.1,33.6,940.0,5.04,4.6,4.6,1
Auto,9.6,26.2,266.0,36.18,4.1,4.2,4
Auto,8.1,26.4,484.0,13.21,4.5,4.3,4
Go Sedan,5.6,19.2,250.0,6.06,4.3,4.7,0
Go Mini,2.6,21.0,224.0,48.08,5.0,4.6,0
Premier Sedan,12.8,36.8,669.0,39.51,3.6,4.2,0
Go Mini,5.2,31.7,207.0,7.83,4.4,3.9,4
Go Sedan,13.2,35.8,227.0,12.34,4.1,3.1,0
Premier Sedan,2.3,33.8,771.0,36.7,3.5,4.6,3
Auto,14.2,26.4,441.0,31.5,4.7,3.1,4
Premier Sedan,12.4,21.6,788.0,4.26,4.2,4.5,3
Auto,13.3,41.6,459.0,46.74,5.0,4.9,3
Go Sedan,4.7,42.5,473.0,48.35,4.7,3.8,0
Bike,14.5,19.8,503.0,49.87,4.3,4.7,0
Go Mini,5.4,18.2,586.0,22.67,4.2,4.2,3
Go Mini,11.5,25.4,236.0,45.17,4.6,3.0,3
Go Mini,11.6,28.4,73.0,23.07,4.6,4.2,3
Premier Sedan,3.1,44.8,355.0,4.08,4.7,3.1,0
Auto,11.1,23.6,663.0,41.97,3.9,4.1,3
Auto,2.6,39.6,886.0,38.82,4.2,4.3,3
Auto,7.2,37.7,292.0,30.4,4.2,3.7,0
Auto,2.0,37.3,564.0,19.78,4.4,4.2,3
Go Mini,11.3,39.8,619.0,47.2,4.2,4.3,0
Go Mini,2.7,28.4,963.0,17.43,4.8,3.8,4
Auto,4.8,33.6,427.0,14.43,4.1,4.6,3
Auto,4.4,42.4,60.0,22.92,4.6,3.7,0
Bike,8.0,29.0,697.0,32.15,3.2,3.9,2
Go Mini,8.1,35.4,953.0,43.08,4.6,4.9,3
Go Mini,5.9,37.3,342.0,48.91,4.0,4.8,0
Go Mini,7.0,17.9,935.0,32.46,4.4,3.9,4
Auto,6.1,24.0,566.0,11.44,4.8,3.7,2
Bike,9.6,34.6,459.0,42.18,3.7,3.7,1
Go Mini,5.2,18.3,401.0,40.16,4.1,4.2,3
Uber XL,4.7,34.8,509.0,4.01,4.3,4.9,0
eBike,10.3,41.2,905.0,15.59,4.9,4.6,3
Go Mini,10.8,16.5,312.0,47.72,4.7,4.2,0
Auto,11.6,20.9,103.0,34.36,4.2,4.6,3
Bike,7.4,16.0,425.0,11.93,4.2,4.3,0
Premier Sedan,11.3,44.8,309.0,42.82,4.3,4.7,3
Auto,8.0,23.6,379.0,43.14,4.3,3.9,3
Go Mini,9.6,39.8,623.0,40.59,4.3,3.8,3
Go Mini,14.3,19.6,743.0,20.32,4.4,5.0,0
Premier Sedan,2.1,23.1,647.0,48.8,4.4,4.3,4
Go Mini,7.3,30.1,1364.0,42.16,3.4,3.3,0
Auto,3.6,24.8,890.0,47.98,3.6,4.7,3
Go Sedan,5.1,44.0,162.0,46.78,3.8,3.2,0
Auto,14.6,42.3,242.0,27.68,4.3,4.5,2
Premier Sedan,2.9,44.7,342.0,27.62,4.6,4.5,3
Go Mini,5.2,26.2,316.0,17.92,4.0,4.7,3
Auto,2.7,34.6,1286.0,30.53,4.5,4.2,4
Bike,6.6,29.8,689.0,45.97,3.9,4.9,3
Premier Sedan,4.7,15.6,504.0,24.06,4.7,5.0,4
Go Sedan,10.8,17.6,231.0,9.44,4.1,4.5,4
Premier Sedan,15.0,29.1,824.0,24.98,4.4,4.2,3
Uber XL,12.5,15.4,478.0,10.78,3.9,4.9,4
Bike,6.9,29.7,432.0,40.59,4.4,4.3,2
Bike,6.6,19.1,606.0,5.75,4.2,4.6,3
Auto,7.5,18.1,328.0,42.66,3.4,4.9,3
Premier Sedan,2.9,38.3,156.0,36.13,4.3,4.3,3
Go Sedan,9.4,36.3,105.0,44.08,4.7,4.9,1
Auto,11.2,22.0,213.0,35.76,4.8,4.6,2
Bike,11.2,19.6,620.0,45.0,4.6,3.1,0
Go Mini,11.6,21.9,83.0,45.07,3.9,4.2,1
Bike,7.6,41.6,821.0,3.86,3.7,4.9,4
Premier Sedan,4.8,44.8,176.0,49.18,3.1,4.6,3
Auto,8.3,18.7,82.0,14.49,4.6,4.2,3
Uber XL,14.8,40.4,221.0,15.3,4.1,4.5,3
Bike,14.1,30.2,901.0,15.53,4.4,4.6,4
Go Sedan,4.8,24.7,1523.0,6.84,4.0,4.3,3
Premier Sedan,9.1,21.7,582.0,27.22,3.5,4.3,0
Auto,3.6,18.6,133.0,31.65,3.2,4.4,3
Auto,6.8,21.0,508.0,38.25,3.2,5.0,1
Bike,5.0,22.0,999.0,12.14,4.4,4.6,4
Auto,11.0,25.8,713.0,9.76,4.3,4.1,3
Premier Sedan,14.3,35.2,96.0,10.63,4.7,4.5,3
Auto,11.4,36.8,595.0,15.32,4.6,5.0,3
Auto,12.2,20.5,256.0,8.76,4.5,5.0,2
Auto,11.8,37.2,449.0,22.4,4.9,4.5,4
Premier Sedan,13.4,40.0,373.0,12.73,4.6,4.2,0
Go Mini,2.4,38.5,445.0,28.77,4.2,4.2,3
Premier Sedan,7.4,20.6,1563.0,8.86,4.7,4.6,0
Go Sedan,12.2,35.3,486.0,30.28,4.6,4.8,2
Premier Sedan,4.3,33.1,480.0,40.38,4.2,3.7,0
Bike,11.1,26.5,162.0,45.56,3.6,4.3,1
Bike,7.1,34.0,964.0,47.18,4.6,4.6,2
Bike,3.0,29.1,68.0,46.93,3.3,4.9,0
Auto,3.5,22.7,77.0,43.81,4.5,4.8,4
Auto,6.2,20.6,1596.0,38.53,4.6,4.5,2
Bike,9.9,26.6,983.0,33.61,3.7,4.6,0
Go Mini,3.0,29.4,68.0,24.62,5.0,3.7,0
Premier Sedan,11.6,32.0,493.0,33.8,4.9,4.2,3
Auto,3.2,44.4,745.0,32.09,4.6,4.3,1
Premier Sedan,14.5,40.4,304.0,13.99,4.8,4.5,4
Auto,9.0,17.1,402.0,14.13,4.6,4.1,3
Go Mini,12.7,36.5,320.0,34.86,5.0,4.5,0
Bike,9.2,34.6,1247.0,43.94,4.5,3.1,4
Premier Sedan,6.1,29.0,358.0,24.56,3.6,3.8,3
Auto,5.5,31.6,86.0,32.14,4.6,4.6,3
Go Mini,2.8,16.8,85.0,43.31,4.6,4.9,4
Go Sedan,4.2,41.7,311.0,30.94,4.3,4.6,3
Go Mini,11.4,26.3,130.0,15.24,4.3,4.6,4
Go Mini,10.2,20.5,367.0,27.38,4.2,4.2,4
Premier Sedan,7.4,28.7,420.0,4.5,4.6,4.2,3
Uber XL,8.7,19.4,510.0,9.87,4.9,4.9,3
Auto,10.0,25.4,83.0,16.5,4.4,4.3,3
Premier Sedan,4.5,15.1,158.0,41.88,3.0,4.8,3
Go Sedan,11.3,33.0,1211.0,32.9,4.2,4.6,4
Bike,13.7,35.9,313.0,36.68,4.2,4.5,1
Bike,8.1,42.2,97.0,20.38,4.2,4.5,1
Auto,10.3,26.4,142.0,47.2,4.6,4.6,3
Go Sedan,4.8,15.5,257.0,10.02,4.0,4.7,1
Auto,9.4,34.1,110.0,2.99,4.5,4.8,3
Go Sedan,2.9,40.2,585.0,31.32,4.5,3.9,3
Go Mini,7.4,31.3,697.0,36.64,3.9,4.7,1
Go Sedan,7.8,32.6,1240.0,47.01,4.4,4.4,3
Premier Sedan,9.4,20.6,777.0,15.11,4.1,4.4,2
Auto,11.0,31.1,95.0,38.26,4.2,4.7,0
Auto,11.6,39.9,484.0,47.12,4.3,4.9,4
Go Sedan,2.1,21.2,485.0,2.17,3.2,4.1,3
Go Sedan,2.9,19.2,76.0,42.9,4.7,4.5,3
Auto,8.3,38.6,188.0,35.09,4.6,4.1,3
Premier Sedan,12.0,38.0,443.0,45.58,4.6,4.6,2
Auto,5.0,19.2,144.0,34.44,4.7,4.6,4
Auto,5.2,32.1,118.0,14.3,4.2,3.0,4
Bike,9.9,17.6,516.0,13.3,4.1,4.7,0
Auto,5.3,36.7,600.0,22.68,4.0,4.3,3
Go Sedan,8.1,24.1,339.0,20.88,4.7,3.0,0
Uber XL,14.9,15.0,533.0,28.23,3.4,4.6,0
Premier Sedan,13.3,30.8,884.0,14.57,4.3,4.7,3
Go Mini,8.8,15.6,446.0,6.69,4.4,4.3,0
Premier Sedan,11.7,30.7,675.0,10.62,4.2,4.1,1
Uber XL,3.9,25.2,407.0,19.99,3.7,4.9,3
Premier Sedan,14.9,25.8,219.0,12.04,3.7,4.3,0
eBike,3.8,15.5,811.0,43.29,4.2,5.0,3
Go Sedan,13.3,43.0,169.0,3.0,3.9,4.9,4
Go Sedan,4.9,41.4,379.0,28.36,3.5,4.2,0
Uber XL,5.9,26.5,160.0,5.52,4.4,4.1,3
Go Sedan,5.9,27.9,153.0,11.93,4.4,4.9,3
Premier Sedan,4.6,24.7,369.0,8.8,4.3,3.7,3
Auto,14.0,17.9,360.0,19.2,4.4,3.8,4
Auto,2.1,31.7,828.0,28.84,5.0,4.1,3
Go Sedan,12.1,19.7,791.0,33.08,4.9,4.9,3
Go Mini,10.5,18.0,529.0,10.88,5.0,4.9,3
Premier Sedan,9.7,36.4,306.0,43.4,4.4,4.9,3
Auto,3.3,25.8,131.0,15.83,3.1,4.3,1
Go Sedan,5.1,23.2,651.0,9.61,4.7,4.6,2
Go Sedan,2.9,30.1,412.0,2.69,4.8,3.7,2
Auto,6.6,33.9,984.0,12.52,3.9,4.6,0
Auto,12.4,31.7,375.0,27.76,4.0,3.6,3
Auto,9.7,31.7,651.0,7.7,4.3,3.9,4
Auto,8.2,37.3,415.0,23.21,4.6,4.6,4
Premier Sedan,3.4,43.3,727.0,29.21,4.6,4.7,3
Premier Sedan,13.1,15.2,302.0,30.45,4.2,4.2,3
Go Sedan,5.4,16.8,392.0,2.09,3.4,4.9,3
Go Mini,2.7,42.8,1052.0,43.22,4.8,4.8,0
Auto,13.3,35.8,921.0,48.69,3.8,4.6,4
Bike,3.9,25.6,189.0,25.96,4.6,5.0,1
Go Mini,9.6,24.7,115.0,19.14,4.6,4.8,0
Bike,7.9,33.8,670.0,15.33,4.2,4.2,1
Bike,12.3,35.3,751.0,27.13,4.6,4.9,3
Auto,11.6,15.6,517.0,16.32,4.3,4.5,3
Go Mini,3.3,42.6,928.0,18.13,5.0,4.6,0
Go Mini,6.4,38.5,336.0,27.52,4.0,4.2,3
Go Sedan,15.0,44.5,476.0,4.96,4.4,4.4,0
Bike,13.9,17.9,104.0,12.29,3.2,4.9,0
Auto,10.7,43.1,579.0,7.29,4.5,4.5,3
Go Mini,11.0,41.6,181.0,44.75,4.4,4.4,0
Go Sedan,4.3,23.6,1727.0,46.07,5.0,4.4,1
Auto,11.6,20.4,339.0,22.75,4.2,5.0,0
Auto,6.7,23.6,833.0,31.3,4.3,4.1,4
eBike,5.8,42.4,221.0,11.62,4.2,4.8,3
Go Mini,11.3,23.0,368.0,27.19,4.2,4.3,3
Go Sedan,13.0,35.4,770.0,10.34,4.4,3.9,3
Premier Sedan,3.3,19.2,140.0,5.24,4.3,4.7,3
Auto,13.9,19.8,249.0,31.52,4.1,4.0,3
Auto,4.6,40.6,163.0,19.44,4.1,4.3,0
Auto,6.7,31.3,1764.0,32.47,4.3,4.1,0
Bike,8.2,21.6,354.0,39.56,3.3,4.3,0
Bike,14.4,16.0,124.0,33.54,3.7,3.7,3
Go Sedan,14.6,25.5,537.0,6.69,4.7,4.6,3
eBike,12.7,32.4,1316.0,20.15,4.3,4.3,3
Auto,14.8,23.5,733.0,21.07,4.3,4.5,0
Premier Sedan,4.5,34.2,298.0,12.52,4.4,4.6,2
Auto,4.9,39.2,858.0,43.87,3.3,4.5,3
Auto,6.1,43.8,467.0,32.54,4.1,4.5,3
Go Sedan,7.6,19.5,823.0,16.85,4.2,5.0,4
Premier Sedan,8.4,37.1,413.0,30.16,3.1,4.3,3
Premier Sedan,9.2,24.3,432.0,46.99,4.2,4.6,0
Auto,5.3,35.8,455.0,30.43,3.2,4.3,3
Bike,4.8,38.6,450.0,42.68,4.2,4.0,3
Auto,12.2,34.0,770.0,20.76,4.0,4.2,3
Go Sedan,9.8,43.5,875.0,6.58,4.7,4.3,3
Auto,14.0,17.7,141.0,16.41,4.3,5.0,0
Premier Sedan,6.1,23.2,212.0,10.89,4.4,4.7,0
Uber XL,8.9,19.2,630.0,49.26,4.1,4.0,0
Premier Sedan,6.5,32.8,263.0,46.6,4.6,4.3,0
Go Sedan,12.2,36.1,807.0,16.76,3.0,4.6,4
Premier Sedan,4.3,19.8,418.0,45.71,4.7,4.7,3
Auto,11.1,16.5,268.0,8.34,3.4,4.3,0
Uber XL,10.6,41.9,773.0,48.84,3.9,4.8,4
Go Sedan,9.1,29.0,137.0,34.83,4.7,4.4,3
Auto,9.9,41.1,215.0,27.67,4.3,4.3,2
Premier Sedan,11.0,37.5,113.0,21.68,4.3,3.7,3
Auto,7.2,18.3,343.0,5.27,4.4,4.8,4
Go Mini,2.7,26.3,477.0,2.65,4.3,4.4,3
eBike,14.1,29.0,523.0,15.33,4.5,4.5,0
Bike,9.6,17.1,601.0,48.96,4.2,4.2,3
Bike,4.6,22.7,2145.0,35.76,4.3,4.5,2
Bike,7.7,44.2,313.0,36.19,4.6,4.3,3
Premier Sedan,12.2,19.5,480.0,18.15,4.4,4.5,3
Premier Sedan,12.7,23.0,953.0,18.58,3.8,4.4,2
Go Sedan,11.9,18.9,440.0,43.05,3.7,4.8,0
Auto,14.9,24.8,62.0,42.69,3.8,4.3,0
Auto,8.6,29.3,244.0,48.98,4.1,3.9,3
eBike,7.1,36.8,375.0,37.9,4.3,4.6,0
Go Mini,4.3,17.7,499.0,49.3,3.4,4.9,3
Premier Sedan,8.8,15.9,296.0,18.49,4.3,4.9,3
Auto,3.9,19.9,167.0,33.22,3.1,3.6,1
Auto,13.7,19.7,824.0,2.38,4.0,4.7,3
Auto,4.9,37.1,407.0,34.2,4.7,4.4,0
Go Sedan,7.6,19.8,752.0,3.59,3.1,4.2,4
Go Sedan,9.7,41.9,354.0,30.56,4.5,4.6,3
Go Sedan,14.3,24.4,164.0,13.69,3.6,4.9,3
Bike,11.5,16.6,392.0,45.56,4.1,4.6,3
Bike,9.3,28.7,389.0,42.16,4.5,4.3,1
Auto,5.4,33.1,474.0,38.28,4.6,3.5,3
Bike,7.8,43.2,199.0,31.51,4.7,5.0,3
Auto,14.9,16.9,1428.0,42.45,4.4,4.2,4
eBike,8.8,26.8,85.0,16.06,3.9,4.6,0
Bike,9.5,22.5,550.0,38.24,4.5,4.5,3
Auto,12.2,20.5,988.0,22.13,4.2,4.6,3
Go Mini,3.3,32.1,112.0,20.08,3.3,4.9,0
Bike,13.5,29.7,81.0,45.98,3.5,3.8,3
Go Mini,3.7,42.8,262.0,10.94,4.2,4.2,3
Auto,10.4,31.0,259.0,49.84,3.8,4.3,4
Premier Sedan,8.8,33.1,1350.0,24.97,4.7,3.1,0
Premier Sedan,14.3,23.9,302.0,32.94,4.6,4.7,0
Go Sedan,6.2,23.1,414.0,22.9,4.8,4.8,3
Go Sedan,2.9,25.1,135.0,29.53,4.2,4.3,0
Auto,12.3,21.4,212.0,32.84,4.1,4.7,1
Auto,13.2,32.6,865.0,3.77,4.1,4.4,3
Premier Sedan,2.6,36.9,255.0,24.12,4.2,4.4,3
Go Mini,5.6,32.6,273.0,38.01,4.1,4.2,1
Premier Sedan,4.6,27.3,477.0,14.39,4.3,3.6,1
Auto,14.1,33.9,197.0,7.33,4.0,4.6,3
Go Mini,12.8,23.7,366.0,38.63,4.3,4.1,1
Go Mini,2.1,19.7,1595.0,42.13,4.4,4.4,3
Go Sedan,6.9,16.6,391.0,24.16,3.8,4.3,1
Go Sedan,2.6,27.9,313.0,33.08,4.7,4.2,3
Bike,12.6,28.1,402.0,45.13,4.3,5.0,3
Go Sedan,4.0,30.1,62.0,14.15,4.7,4.3,0
Auto,13.7,37.2,602.0,9.9,4.9,3.7,3
